id_transacao,id_cliente,data_transacao,lugar_transacao
272592028,5255,2021-05-04,en línea
448548981,5255,2022-03-06,en línea
466844521,5255,2022-07-25,en línea
393984740,5255,2021-05-23,en línea
775125959,5255,2022-01-27,en línea
282555602,5255,2022-03-12,en línea
275110250,5255,2021-03-20,en línea
887572096,9422,2021-05-31,en línea
366462306,9422,2022-09-07,en línea
155203938,1966,2021-11-22,en línea
471932120,1966,2022-03-01,en línea
612215326,1966,2021-12-17,en línea
431714228,1966,2022-08-25,en línea
201124540,1966,2022-10-24,en línea
258438833,1966,2022-09-27,en línea
273760315,6864,2022-05-22,en línea
294455866,6864,2022-09-30,en línea
370479361,6864,2022-11-05,en línea
431557717,3033,2021-05-11,en línea
673494795,3033,2021-10-20,en línea
110491707,5710,2020-10-10,en línea
474622693,5710,2020-11-18,en línea
820570185,7373,2020-10-29,en línea
878568670,7373,2020-11-20,en línea
787926967,7373,2022-02-03,en línea
123425553,7373,2022-01-28,en línea
206523239,8755,2021-02-20,en línea
403621055,8755,2021-06-22,en línea
173406786,8755,2021-07-04,en línea
802920656,10738,2021-08-29,en línea
196005755,10738,2021-10-26,en línea
574537143,4339,2021-12-31,en línea
813923929,4339,2022-01-30,en línea
842706360,4339,2022-01-17,en línea
302829536,4339,2022-07-06,en línea
558538627,4339,2022-08-30,en línea
298125463,10755,2021-09-02,en línea
748329549,10755,2021-09-10,en línea
498186539,10755,2022-03-26,en línea
883093505,8595,2022-02-11,en línea
100580479,2968,2021-02-01,en línea
524648110,2968,2021-04-14,en línea
521884674,2968,2022-10-08,en línea
829411396,2968,2021-05-12,en línea
597001852,2968,2022-04-26,en línea
191955542,2968,2021-02-09,en línea
704296097,2968,2021-04-22,en línea
274572498,8601,2021-04-29,en línea
487946624,8601,2021-06-24,en línea
897430972,8601,2022-10-14,en línea
530682908,8601,2021-05-26,en línea
169619293,8601,2022-02-02,en línea
263050584,8601,2021-07-02,en línea
450259376,8601,2021-12-26,en línea
286596718,8601,2021-05-30,en línea
479221132,503,2021-03-12,en línea
757383936,503,2021-12-24,en línea
559548023,7281,2021-11-05,en línea
255079395,2139,2021-10-02,en línea
871803664,2139,2022-08-26,en línea
496046266,1371,2022-06-28,en línea
729946180,1371,2022-09-14,en línea
293423937,9909,2020-11-09,en línea
137315472,9909,2020-12-03,en línea
592650263,9909,2022-02-02,en línea
870656853,7286,2021-05-24,en línea
599285551,7286,2021-12-26,en línea
423086591,7244,2022-01-01,en línea
261874767,7244,2022-07-25,en línea
799310055,6566,2020-11-08,en línea
882964028,6566,2022-06-05,en línea
716513681,6566,2022-03-31,en línea
725799033,6566,2022-05-08,en línea
372948669,6566,2021-04-05,en línea
394710171,8614,2022-05-12,en línea
166588971,8614,2022-11-08,en línea
838261559,8614,2022-11-18,en línea
154159062,8614,2022-10-25,en línea
112939927,4114,2020-08-11,en línea
224570405,4114,2021-09-01,en línea
121017742,4114,2020-12-27,en línea
121160094,4114,2020-09-25,en línea
881271248,4114,2021-04-22,en línea
797372430,4114,2022-04-02,en línea
100001969,1331,2021-01-02,en línea
156445038,1331,2022-11-29,en línea
589330185,2225,2022-06-07,en línea
845537508,2225,2022-08-29,en línea
849531248,2225,2022-07-06,en línea
899352509,2225,2022-07-07,en línea
424303407,9381,2021-06-12,en línea
520930089,9381,2022-01-28,en línea
896818382,9381,2022-02-27,en línea
623723640,9381,2021-10-02,en línea
377246259,6260,2020-11-19,en línea
827576046,6260,2021-08-16,en línea
308694194,6260,2021-12-23,en línea
702583914,10383,2021-04-02,en línea
770186168,10383,2021-11-01,en línea
702351174,10383,2021-10-02,en línea
476969384,10383,2021-11-06,en línea
147569406,10383,2021-04-29,en línea
777092885,7437,2022-04-28,en línea
350504752,8557,2021-06-17,en línea
238398046,8557,2022-11-21,en línea
261598432,8375,2022-03-03,en línea
743817831,8375,2022-04-07,en línea
834284328,8375,2022-07-28,en línea
109735884,8375,2022-03-14,en línea
819070875,8375,2022-09-02,en línea
569136728,8375,2022-08-08,en línea
101209643,8375,2022-06-02,en línea
587917623,8375,2022-06-28,en línea
588658402,6853,2021-07-04,en línea
691060105,6853,2021-09-20,en línea
851824966,6853,2021-10-26,en línea
659909236,3076,2020-09-07,en línea
639530804,3076,2021-11-11,en línea
129608302,3076,2021-09-03,en línea
285040049,3076,2022-07-22,en línea
886321940,1012,2021-02-18,en línea
722643916,1012,2021-05-10,en línea
369278391,1012,2022-03-04,en línea
222451281,1012,2021-07-06,en línea
467406158,1012,2021-04-18,en línea
294496583,1012,2021-04-14,en línea
621461829,1012,2021-03-30,en línea
801316045,1012,2021-06-14,en línea
769574645,6518,2021-06-11,en línea
851545194,6518,2022-02-22,en línea
389102811,6518,2022-06-22,en línea
239134147,6518,2022-01-06,en línea
885135810,6518,2021-11-29,en línea
769245440,6518,2022-09-06,en línea
462918677,6518,2022-07-09,en línea
311072026,4137,2021-12-06,en línea
317448778,4137,2022-12-17,en línea
190472236,4137,2022-11-01,en línea
710534947,4137,2022-04-10,en línea
144745818,4137,2022-09-06,en línea
228243640,4137,2022-06-07,en línea
483850068,4137,2022-05-18,en línea
276918675,8082,2021-05-21,en línea
125161782,1386,2022-05-11,en línea
253381103,9369,2022-03-19,en línea
793307290,9369,2022-08-21,en línea
296525247,9369,2022-05-05,en línea
315892518,9369,2022-10-16,en línea
287857329,9369,2022-08-08,en línea
825949033,9369,2022-07-18,en línea
524604834,9369,2022-09-19,en línea
640849880,9369,2022-11-26,en línea
660390806,9369,2022-10-07,en línea
676124747,9369,2022-06-20,en línea
627146143,9369,2022-06-30,en línea
334295814,4477,2021-09-27,en línea
162459538,4477,2022-09-16,en línea
359347498,4477,2021-11-06,en línea
225966150,4477,2021-10-02,en línea
655014219,4477,2022-04-18,en línea
266187707,1357,2021-04-08,en línea
630503697,1357,2021-06-21,en línea
777485917,1402,2020-09-11,en línea
773847780,1402,2021-12-15,en línea
360012796,1402,2020-11-21,en línea
586572807,1402,2021-04-20,en línea
570763711,10629,2020-09-14,en línea
482085126,10629,2020-09-19,en línea
150594867,10629,2021-05-30,en línea
504858062,6312,2021-03-17,en línea
762388157,6312,2021-03-24,en línea
131465067,6312,2021-05-22,en línea
323961206,6312,2021-07-05,en línea
743510388,6312,2021-05-23,en línea
622864899,6312,2021-10-18,en línea
404845605,6312,2022-11-04,en línea
728410742,6312,2021-04-14,en línea
131909209,6312,2021-11-13,en línea
451162092,6312,2021-09-27,en línea
129866784,8132,2021-04-05,en línea
736234060,8132,2022-08-13,en línea
104244482,8132,2021-11-04,en línea
521110882,8132,2021-05-20,en línea
586218042,8132,2021-10-25,en línea
260835615,8132,2021-07-11,en línea
280426309,8132,2021-10-06,en línea
755388461,8132,2021-05-26,en línea
820401155,8132,2021-06-01,en línea
550376616,1050,2022-04-30,en línea
874229131,1050,2022-11-15,en línea
579842332,5846,2020-12-19,en línea
770162166,1859,2020-08-27,en línea
148587723,1859,2022-02-28,en línea
809359097,1859,2022-01-10,en línea
392946180,1859,2021-07-18,en línea
714046022,1859,2022-10-05,en línea
507932576,1859,2021-08-03,en línea
149914203,1859,2020-10-10,en línea
892208182,7503,2020-10-12,en línea
699809369,7503,2020-10-16,en línea
859833602,7503,2020-12-22,en línea
602488344,7503,2021-03-11,en línea
131384679,7503,2022-06-18,en línea
568708238,1618,2021-01-02,en línea
291203718,1618,2021-09-08,en línea
422951421,1618,2022-06-22,en línea
639382762,1618,2021-06-11,en línea
780958284,1618,2021-07-30,en línea
546058051,1618,2022-08-07,en línea
861718858,1618,2021-01-27,en línea
213766950,1618,2022-04-19,en línea
860946816,1618,2021-09-29,en línea
665511388,1618,2022-06-04,en línea
307105575,3332,2020-08-29,en línea
508816102,3332,2022-06-25,en línea
319056852,3332,2020-11-10,en línea
598998462,2261,2021-06-23,en línea
737140003,5346,2021-07-03,en línea
870108324,5346,2022-01-06,en línea
770244948,5346,2022-08-16,en línea
564084919,4119,2021-05-11,en línea
165995736,4119,2021-12-07,en línea
624642358,535,2022-02-25,en línea
457795522,535,2022-02-26,en línea
201768651,535,2022-09-25,en línea
871978950,5268,2021-08-11,en línea
817535856,273,2021-07-16,en línea
303955814,273,2021-08-24,en línea
868702076,273,2022-05-06,en línea
719791600,4452,2022-05-28,en línea
193371498,4452,2022-10-23,en línea
747436914,4452,2022-06-13,en línea
527297118,4452,2022-06-28,en línea
240571292,4452,2022-07-31,en línea
852293590,4452,2022-06-10,en línea
191047254,8504,2022-05-12,en línea
439206398,8504,2022-08-15,en línea
108989859,8504,2022-10-12,en línea
467989183,8504,2022-08-20,en línea
871006749,8504,2022-09-23,en línea
237204714,771,2022-01-21,en línea
657474481,771,2022-02-01,en línea
636718312,8996,2020-11-19,en línea
772770259,8996,2021-01-09,en línea
545026584,8996,2022-05-21,en línea
693395681,8996,2021-02-18,en línea
833589955,8996,2021-10-29,en línea
856471147,8996,2022-01-02,en línea
134246890,8996,2022-07-17,en línea
735848605,9235,2022-05-27,en línea
184311184,5798,2021-11-23,en línea
518376277,5798,2022-09-25,en línea
451822648,11178,2022-03-23,en línea
264434292,2230,2022-05-24,en línea
417668323,2230,2022-09-09,en línea
503025239,2230,2022-11-26,en línea
621445274,7516,2022-05-22,en línea
473229965,7516,2022-08-01,en línea
146029978,7247,2020-11-22,en línea
594008340,7247,2022-04-16,en línea
716384229,7247,2021-12-01,en línea
148917572,7247,2021-01-10,en línea
228193463,7247,2022-01-17,en línea
549618059,7247,2022-06-01,en línea
621033725,7247,2021-01-20,en línea
242822003,11100,2021-04-11,en línea
800927065,11100,2022-06-08,en línea
512891120,4646,2021-12-01,en línea
542905750,4646,2022-03-14,en línea
482390775,4646,2022-09-16,en línea
222591803,4646,2022-09-28,en línea
313838821,4646,2022-11-04,en línea
406343913,3037,2021-06-20,en línea
568429051,3037,2021-07-14,en línea
654258056,3037,2022-03-23,en línea
494944600,3037,2021-12-10,en línea
553763541,3037,2021-11-30,en línea
330184356,1473,2021-07-23,en línea
310762924,1473,2022-01-09,en línea
329289528,1016,2022-03-30,en línea
599755255,1016,2022-11-02,en línea
461157411,4518,2021-04-20,en línea
546186244,4518,2021-06-21,en línea
763946828,4518,2021-07-19,en línea
127919907,4518,2021-08-01,en línea
534295765,4518,2021-05-19,en línea
895253715,4518,2021-06-23,en línea
309568863,4518,2021-11-10,en línea
189834413,4518,2022-06-23,en línea
296009239,4518,2022-04-21,en línea
174207578,9370,2021-05-17,en línea
210370251,9370,2021-10-07,en línea
260079214,9370,2022-01-20,en línea
164226450,9370,2021-05-28,en línea
351715628,9370,2022-10-16,en línea
566992487,9370,2021-12-24,en línea
620789095,8908,2022-05-08,en línea
206493834,8908,2022-10-09,en línea
532421581,8908,2022-09-27,en línea
248017091,8373,2021-12-10,en línea
693720798,7533,2021-09-24,en línea
849898877,7533,2022-06-28,en línea
652770228,7533,2022-01-14,en línea
814174523,7533,2021-10-15,en línea
807361471,2683,2021-02-02,en línea
375381604,2683,2021-05-12,en línea
370772701,2683,2021-12-18,en línea
692578465,2683,2021-11-12,en línea
281133997,2683,2021-09-24,en línea
674778576,2683,2022-01-03,en línea
538407862,3629,2020-12-19,en línea
876595550,3629,2021-06-12,en línea
128285903,3629,2022-01-08,en línea
199725585,10991,2020-12-07,en línea
577387604,10991,2021-03-15,en línea
290242251,10991,2021-07-06,en línea
123579981,10991,2022-05-11,en línea
307326367,10991,2020-12-29,en línea
636044627,5077,2021-11-02,en línea
844281744,5077,2022-08-07,en línea
251436266,5077,2022-01-29,en línea
708275523,5077,2022-02-09,en línea
187132991,5077,2022-09-05,en línea
324474873,5077,2022-06-19,en línea
444705650,7431,2020-11-10,en línea
248905667,7431,2021-10-15,en línea
333362431,7431,2022-01-25,en línea
790720521,7431,2022-02-01,en línea
843787567,7431,2021-02-23,en línea
409409558,7431,2021-01-03,en línea
719519250,7431,2021-09-22,en línea
329101983,3267,2022-06-25,en línea
750334373,3267,2022-10-28,en línea
276269675,3267,2022-10-05,en línea
807057359,3267,2022-07-14,en línea
387137364,3267,2022-10-16,en línea
419317202,3267,2022-08-10,en línea
547708429,3267,2022-11-05,en línea
549074703,3267,2022-12-13,en línea
735812779,999,2021-01-02,en línea
227758823,999,2022-03-10,en línea
356753950,999,2022-02-03,en línea
810621174,999,2022-06-15,en línea
540259068,999,2022-06-10,en línea
177970424,999,2021-08-04,en línea
747297374,9215,2020-12-12,en línea
411315667,9215,2021-01-28,en línea
284213323,9215,2021-03-10,en línea
337660576,9215,2021-07-26,en línea
114298806,9215,2021-01-15,en línea
824281038,9215,2021-08-17,en línea
581688285,2286,2021-09-10,en línea
888815554,2286,2022-05-26,en línea
620080474,1592,2022-01-24,en línea
547437078,1592,2022-08-31,en línea
222553575,1592,2022-11-06,en línea
551781934,1592,2022-02-16,en línea
524426883,367,2021-02-19,en línea
170222506,367,2022-11-23,en línea
737014325,367,2021-12-24,en línea
670513360,367,2021-07-15,en línea
716992687,367,2021-06-05,en línea
590848994,367,2021-07-21,en línea
327253378,367,2021-05-28,en línea
789474372,367,2022-05-04,en línea
516300847,367,2021-04-19,en línea
696220564,5234,2021-07-11,en línea
602785475,9862,2021-11-14,en línea
122226112,9862,2022-02-12,en línea
400394335,9805,2021-06-20,en línea
698683637,9805,2022-02-25,en línea
769352098,9805,2021-08-20,en línea
306249205,9805,2021-07-28,en línea
559986093,9805,2022-09-12,en línea
430804003,9805,2021-08-05,en línea
559467445,6205,2022-02-24,en línea
658090973,6205,2022-08-23,en línea
815733349,8442,2021-09-04,en línea
231398207,7386,2021-04-22,en línea
856007263,7215,2021-03-12,en línea
587455076,7215,2021-07-22,en línea
717043502,7215,2022-01-16,en línea
813078041,7215,2021-08-20,en línea
448513208,7215,2021-09-22,en línea
498382869,7215,2022-02-18,en línea
540599882,1491,2021-02-18,en línea
883598459,1491,2022-09-10,en línea
275166921,1491,2022-04-26,en línea
800207435,11071,2021-04-21,en línea
832577381,11071,2021-12-27,en línea
100329919,11071,2021-09-20,en línea
441669230,3381,2022-06-08,en línea
170491811,3381,2022-06-10,en línea
489298673,8268,2021-07-11,en línea
569207844,8268,2022-05-15,en línea
671540903,8268,2022-05-17,en línea
156694970,8268,2021-08-01,en línea
346863436,8268,2021-11-01,en línea
156542951,8268,2021-07-24,en línea
430642998,11051,2022-05-10,en línea
772839654,11051,2022-11-19,en línea
451063910,11051,2022-06-07,en línea
564107480,11051,2022-08-19,en línea
781995800,11051,2022-12-06,en línea
141987990,11051,2022-10-26,en línea
204681721,8026,2021-09-30,en línea
424943661,8026,2022-05-11,en línea
865256773,8026,2022-02-22,en línea
854861426,8026,2021-12-13,en línea
240041659,8026,2022-07-28,en línea
609371804,433,2021-03-10,en línea
158498927,433,2021-04-28,en línea
559473731,433,2021-03-29,en línea
740479884,433,2021-12-19,en línea
287707091,433,2021-06-04,en línea
168212820,433,2021-07-12,en línea
366175865,433,2021-08-26,en línea
235164913,433,2021-04-26,en línea
878224808,433,2021-12-16,en línea
306735933,433,2021-03-31,en línea
347043704,433,2021-03-11,en línea
817491211,9597,2022-02-10,en línea
815945416,9597,2022-02-20,en línea
854594943,9597,2022-02-21,en línea
328070652,9597,2022-10-28,en línea
288046197,9597,2022-03-18,en línea
309842168,9597,2022-10-06,en línea
268527470,9597,2022-09-18,en línea
717157862,1295,2021-08-11,en línea
498933052,1295,2022-01-16,en línea
313104674,1295,2022-04-02,en línea
684231206,1295,2021-10-31,en línea
680426992,1295,2022-02-26,en línea
177012746,1295,2021-12-01,en línea
213123919,5290,2021-08-14,en línea
676169392,5290,2022-02-03,en línea
373910820,5290,2021-08-30,en línea
129410032,5290,2021-10-16,en línea
654894677,5290,2022-08-09,en línea
575043131,1685,2021-03-17,en línea
557208670,1685,2021-03-26,en línea
185409306,1685,2021-08-21,en línea
643562943,1685,2021-05-16,en línea
106822084,5342,2020-08-08,en línea
760225026,9579,2021-07-07,en línea
104647615,9579,2021-07-14,en línea
828877285,7660,2022-05-19,en línea
405506260,1461,2021-07-28,en línea
643640488,1461,2022-03-20,en línea
582293409,821,2020-10-19,en línea
456334060,821,2021-01-18,en línea
565073384,821,2021-01-19,en línea
288295840,821,2020-11-02,en línea
207680479,821,2021-11-15,en línea
676837711,11084,2021-11-14,en línea
434346771,11084,2022-04-27,en línea
268201263,11084,2022-01-21,en línea
583648363,8690,2021-04-19,en línea
138728916,8690,2022-10-27,en línea
721800524,8690,2021-05-07,en línea
706413578,8690,2021-10-07,en línea
789621210,8690,2021-09-10,en línea
443064061,2937,2021-08-28,en línea
665599856,2937,2022-08-26,en línea
482556220,2937,2021-11-07,en línea
772238711,2937,2021-12-03,en línea
325061468,2937,2021-12-16,en línea
537455705,2937,2021-10-12,en línea
155287495,2937,2021-11-11,en línea
273133885,2937,2022-11-04,en línea
331660181,9701,2021-03-19,en línea
287153938,9701,2021-04-06,en línea
582553876,9701,2022-03-30,en línea
354233342,9701,2021-05-21,en línea
297169344,9949,2020-10-18,en línea
297900671,9949,2021-05-11,en línea
466996828,9949,2022-02-21,en línea
456737858,10837,2020-10-28,en línea
476016588,10837,2022-05-13,en línea
310906676,3120,2021-08-28,en línea
523412304,5885,2020-08-22,en línea
830721090,5885,2020-10-19,en línea
173635688,5885,2021-02-20,en línea
490915010,5885,2020-09-28,en línea
459693637,4050,2022-06-21,en línea
898066597,4050,2022-11-23,en línea
323564655,3830,2022-04-24,en línea
742656949,3830,2022-10-15,en línea
282219902,3830,2022-06-18,en línea
662244020,3830,2022-07-14,en línea
290856864,7987,2022-03-07,en línea
351503309,7987,2022-07-31,en línea
781182650,7987,2022-12-06,en línea
654206524,7987,2022-03-17,en línea
638939018,7987,2022-12-31,en línea
609858382,7987,2022-04-20,en línea
220875656,7987,2022-04-04,en línea
104473220,7987,2022-08-22,en línea
279080848,7798,2020-12-14,en línea
304126182,7798,2022-04-21,en línea
454503149,7798,2021-11-20,en línea
257241030,7798,2021-05-10,en línea
328673119,7798,2021-08-04,en línea
575359024,7798,2021-02-09,en línea
302593720,7798,2022-07-27,en línea
393152193,92,2022-05-12,en línea
536541202,92,2022-12-06,en línea
129980028,92,2022-10-10,en línea
678637702,7055,2020-10-09,en línea
203124502,7055,2022-03-11,en línea
490553072,7055,2021-11-29,en línea
865252598,7055,2021-03-25,en línea
215097678,7055,2021-06-02,en línea
856432824,7055,2020-11-19,en línea
204811936,7055,2021-04-23,en línea
887450740,7055,2021-03-24,en línea
437472870,10240,2021-02-19,en línea
432011527,10240,2022-06-16,en línea
290754559,10240,2021-02-25,en línea
238965820,10240,2021-08-23,en línea
253628971,10240,2022-11-08,en línea
132728939,10240,2021-10-18,en línea
348507949,10240,2021-05-26,en línea
413866081,10240,2022-07-28,en línea
670136962,10240,2021-02-28,en línea
678165992,10240,2021-06-05,en línea
671888116,3025,2021-07-08,en línea
329707167,3025,2021-07-19,en línea
616895015,3025,2021-10-21,en línea
672212409,3025,2021-08-31,en línea
442456143,3025,2021-12-19,en línea
436672106,3025,2022-03-10,en línea
355839521,9970,2021-10-17,en línea
167575434,2730,2021-08-20,en línea
895077487,2730,2021-10-19,en línea
683402019,2730,2021-09-10,en línea
169081646,2795,2021-07-01,en línea
700076834,9260,2020-11-05,en línea
469462415,9260,2022-05-17,en línea
322158201,9260,2021-10-25,en línea
866338077,9260,2021-11-05,en línea
141395443,9260,2022-06-05,en línea
319196196,9260,2022-05-25,en línea
424239081,9260,2021-02-22,en línea
721055070,9260,2021-02-04,en línea
419693891,9260,2021-03-10,en línea
331799096,9260,2021-01-14,en línea
689856029,8182,2022-01-05,en línea
739156579,8182,2022-11-08,en línea
883349038,8182,2022-01-07,en línea
420387426,10095,2021-05-01,en línea
274953062,10095,2022-03-06,en línea
683878277,10095,2021-12-11,en línea
633787147,10095,2022-10-16,en línea
479538366,10095,2022-02-22,en línea
320737432,4370,2021-11-13,en línea
824680868,4370,2022-01-05,en línea
329206185,10573,2021-11-18,en línea
654992007,10573,2022-09-20,en línea
459968761,10573,2022-11-24,en línea
547766804,10573,2021-12-18,en línea
161748463,10573,2022-12-08,en línea
658856130,10573,2022-09-26,en línea
387335879,3712,2021-08-28,en línea
760256210,3712,2022-03-01,en línea
736468495,3712,2022-02-04,en línea
369009570,6637,2021-11-02,en línea
619531556,6637,2022-10-02,en línea
439609089,6637,2022-09-12,en línea
231222104,3152,2022-02-25,en línea
283431830,3152,2022-11-28,en línea
633917056,5610,2022-04-21,en línea
724411621,6460,2021-07-13,en línea
492383792,6460,2022-04-11,en línea
757218039,1349,2022-04-21,en línea
862949021,1349,2022-09-13,en línea
612176259,1349,2022-05-16,en línea
222081200,1880,2022-01-30,en línea
132068704,1880,2022-04-14,en línea
334823025,641,2022-04-04,en línea
224336219,641,2022-10-19,en línea
338415932,8717,2020-09-12,en línea
275076177,8717,2021-03-06,en línea
889069047,8717,2021-06-11,en línea
718146208,8717,2022-05-14,en línea
540922071,8717,2021-06-07,en línea
475659930,8717,2021-06-03,en línea
259115404,8717,2022-02-23,en línea
269732588,8717,2022-01-20,en línea
689294595,8717,2020-10-21,en línea
306534508,8717,2021-04-14,en línea
702119217,8717,2021-01-02,en línea
322067388,10314,2020-12-16,en línea
604200861,10314,2021-06-17,en línea
536625492,10314,2021-05-26,en línea
469642211,10314,2021-12-10,en línea
286171921,10314,2021-11-21,en línea
524770268,10314,2022-08-08,en línea
490879241,10314,2022-05-01,en línea
251032519,10314,2022-05-25,en línea
103386774,10314,2021-09-04,en línea
108137876,10854,2022-05-23,en línea
383944569,10854,2022-12-10,en línea
184653700,6935,2021-12-01,en línea
521076360,6935,2022-07-24,en línea
532199160,6935,2022-04-11,en línea
111734526,6935,2022-11-06,en línea
320384367,6935,2022-08-05,en línea
203667579,7698,2022-05-11,en línea
763514565,7698,2022-12-02,en línea
166908828,7698,2022-07-28,en línea
530091861,7698,2022-11-30,en línea
895453050,3559,2022-05-10,en línea
578083333,3559,2022-08-25,en línea
551347935,10562,2021-09-28,en línea
801066013,10562,2022-07-24,en línea
371121119,10562,2022-05-16,en línea
273487906,10562,2022-08-21,en línea
590721312,10562,2021-11-08,en línea
810678922,10562,2022-01-11,en línea
254505332,10796,2022-01-22,en línea
186690772,2563,2022-06-15,en línea
813284001,2563,2022-07-24,en línea
668819221,3518,2020-12-05,en línea
355578377,5823,2022-03-08,en línea
132547556,3934,2021-08-02,en línea
737065994,3934,2021-10-06,en línea
727929462,3934,2021-09-11,en línea
170245729,3934,2022-01-17,en línea
503880733,3934,2022-05-22,en línea
716651171,3934,2021-12-20,en línea
198757278,3934,2022-04-14,en línea
807025927,6982,2021-03-19,en línea
224740413,6982,2022-01-22,en línea
732773156,6982,2021-09-18,en línea
373211625,6982,2022-01-21,en línea
849236025,6431,2021-02-23,en línea
824258910,6431,2021-08-22,en línea
164986762,9733,2020-09-09,en línea
543997375,5602,2021-05-17,en línea
330831202,5602,2021-07-24,en línea
599287912,5602,2022-09-04,en línea
169705378,5602,2022-06-10,en línea
423981896,5602,2021-09-01,en línea
898579284,5602,2021-12-01,en línea
559787905,5602,2021-07-25,en línea
