id_cliente,ano_nascimento,nivel_educacao,estado_civil,salario_anual_dolar,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha,transacoes(frequencia),ultima_compra,total_compra(monetario),total_vinho,total_frutas,total_carnes,total_peixes,total_doces,total_outros,idade,faixa_etária,total_filhos,media_compras,mediana_compras,recencia,score_frequencia,quintil_frequencia,score_recencia,quintil_recencia,score_monetario,quintil_monetario,classificacao_cliente
387,1976,Secundaria,Casado,7500,0,0,2020-11-13,0,5,2021-09-05,"$61,00","$6,00","$16,00","$11,00","$11,00","$1,00","$16,00",48,Adulto,0,"$10,17","$11,00",1678,2,Q1,1,Q1,2,Q2,EM RISCO
2125,1959,Grado o superior,Divorciado,63033,0,0,2021-11-15,0,11,2022-12-05,"$1.102,00","$194,00","$61,00","$480,00","$225,00","$112,00","$30,00",65,Idoso,0,"$183,67","$153,00",1222,4,Q3,5,Q1,4,Q4,CAMPEÕES
8180,1952,Posgrado,Divorciado,59354,1,1,2021-11-15,0,11,2022-11-08,"$310,00","$233,00","$2,00","$53,00","$3,00","$5,00","$14,00",72,Idoso,2,"$51,67","$9,50",1249,4,Q3,4,Q1,3,Q3,CLIENTES FIEIS
2569,1987,Grado o superior,Casado,17323,0,0,2020-10-10,0,4,2021-09-04,"$46,00","$3,00","$14,00","$17,00","$6,00","$1,00","$5,00",37,Adulto,0,"$7,67","$5,50",1679,1,Q1,1,Q1,1,Q1,HIBERNANDO
2114,1946,Posgrado,Soltero,82800,0,0,2020-11-24,1,19,2022-07-19,"$1.315,00","$1.006,00","$22,00","$115,00","$59,00","$68,00","$45,00",78,Idoso,0,"$219,17","$63,50",1361,5,Q5,3,Q1,5,Q5,CLIENTES FIEIS
9736,1980,Grado o superior,Casado,41850,1,1,2020-12-24,0,6,2022-05-06,"$96,00","$53,00","$5,00","$19,00","$2,00","$13,00","$4,00",44,Adulto,2,"$16,00","$9,00",1435,2,Q2,2,Q1,2,Q2,PRECISAM DE ATENÇÃO
4939,1946,Grado o superior,Unión de hecho,37760,0,0,2020-08-31,0,10,2022-07-15,"$317,00","$84,00","$5,00","$38,00","$150,00","$12,00","$28,00",78,Idoso,0,"$52,83","$33,00",1365,3,Q3,3,Q1,3,Q3,CLIENTES FIEIS
6565,1949,Posgrado,Casado,76995,0,1,2021-03-28,0,20,2022-04-07,"$1.782,00","$1.012,00","$80,00","$498,00","$0,00","$16,00","$176,00",75,Idoso,1,"$297,00","$128,00",1464,5,Q5,2,Q1,5,Q5,CLIENTES FIEIS
2278,1985,Secundaria,Soltero,33812,1,0,2020-11-03,0,5,2021-07-03,"$133,00","$4,00","$17,00","$19,00","$30,00","$24,00","$39,00",39,Adulto,1,"$22,17","$21,50",1742,2,Q1,1,Q1,2,Q2,EM RISCO
9360,1982,Grado o superior,Casado,37040,0,0,2020-08-08,0,9,2022-09-20,"$316,00","$86,00","$2,00","$73,00","$69,00","$38,00","$48,00",42,Adulto,0,"$52,67","$58,50",1298,3,Q3,3,Q1,3,Q3,CLIENTES FIEIS
1993,1949,Posgrado,Casado,58607,0,1,2020-12-23,0,11,2022-03-20,"$972,00","$867,00","$0,00","$86,00","$0,00","$0,00","$19,00",75,Idoso,1,"$162,00","$9,50",1482,4,Q3,1,Q1,4,Q4,EM RISCO
4047,1954,Posgrado,Casado,65324,0,1,2022-01-11,0,15,2022-12-24,"$544,00","$384,00","$0,00","$102,00","$21,00","$32,00","$5,00",70,Idoso,1,"$90,67","$26,50",1203,5,Q4,5,Q1,3,Q3,CAMPEÕES
1409,1951,Grado o superior,Unión de hecho,40689,0,1,2021-03-18,0,12,2022-11-30,"$444,00","$270,00","$3,00","$27,00","$39,00","$6,00","$99,00",73,Idoso,1,"$74,00","$33,00",1227,4,Q4,5,Q1,3,Q3,CLIENTES FIEIS
7892,1969,Grado o superior,Soltero,18589,0,0,2021-01-02,0,5,2022-07-02,"$75,00","$6,00","$4,00","$25,00","$15,00","$12,00","$13,00",55,Adulto,0,"$12,50","$12,50",1378,2,Q1,2,Q1,2,Q2,PRECISAM DE ATENÇÃO
2404,1976,Grado o superior,Casado,53359,1,1,2021-05-27,0,9,2022-05-23,"$257,00","$173,00","$4,00","$30,00","$3,00","$6,00","$41,00",48,Adulto,2,"$42,83","$18,00",1418,3,Q3,2,Q1,3,Q3,CLIENTES FIEIS
9422,1989,Grado o superior,Casado,38360,1,0,2021-05-31,0,6,2022-09-07,"$131,00","$36,00","$2,00","$42,00","$20,00","$21,00","$10,00",35,Adulto,1,"$21,83","$20,50",1311,2,Q2,3,Q1,2,Q2,LEALDADE POTENCIAL
1966,1965,Posgrado,Casado,84618,0,0,2021-11-22,0,16,2022-12-10,"$1.672,00","$684,00","$100,00","$801,00","$21,00","$66,00","$0,00",59,Adulto,0,"$278,67","$83,00",1217,5,Q5,5,Q1,5,Q5,CAMPEÕES
6864,1989,Posgrado,Divorciado,10979,0,0,2022-05-22,0,6,2022-11-05,"$30,00","$8,00","$4,00","$10,00","$2,00","$2,00","$4,00",35,Adulto,0,"$5,00","$4,00",1252,2,Q2,4,Q1,1,Q1,LEALDADE POTENCIAL
3033,1963,Posgrado,Unión de hecho,38620,0,0,2021-05-11,0,5,2021-10-20,"$318,00","$112,00","$17,00","$44,00","$34,00","$22,00","$89,00",61,Adulto,0,"$53,00","$39,00",1633,2,Q1,1,Q1,3,Q3,EM RISCO
5710,1970,Grado o superior,Unión de hecho,40548,0,1,2020-10-10,0,6,2021-11-18,"$120,00","$110,00","$0,00","$5,00","$2,00","$0,00","$3,00",54,Adulto,1,"$20,00","$2,50",1604,2,Q2,1,Q1,2,Q2,EM RISCO
7373,1952,Posgrado,Divorciado,46610,0,2,2020-10-29,1,10,2022-02-11,"$302,00","$96,00","$12,00","$96,00","$33,00","$22,00","$43,00",72,Idoso,2,"$50,33","$38,00",1519,3,Q3,1,Q1,3,Q3,EM RISCO
8755,1946,Posgrado,Casado,68657,0,0,2021-02-20,0,12,2022-06-08,"$1.196,00","$482,00","$34,00","$471,00","$119,00","$68,00","$22,00",78,Idoso,0,"$199,33","$93,50",1402,4,Q4,2,Q1,5,Q5,CLIENTES FIEIS
10738,1951,Posgrado,Soltero,49389,1,1,2021-08-29,0,5,2022-02-23,"$65,00","$40,00","$0,00","$19,00","$2,00","$1,00","$3,00",73,Idoso,2,"$10,83","$2,50",1507,2,Q1,1,Q1,2,Q2,EM RISCO
4339,1970,Posgrado,Casado,67353,0,1,2021-12-31,0,17,2022-12-11,"$913,00","$702,00","$17,00","$151,00","$0,00","$8,00","$35,00",54,Adulto,1,"$152,17","$26,00",1216,5,Q5,5,Q1,4,Q4,CAMPEÕES
10755,1976,Secundaria,Casado,23718,1,0,2021-09-02,0,5,2022-03-26,"$81,00","$6,00","$3,00","$14,00","$15,00","$7,00","$36,00",48,Adulto,1,"$13,50","$10,50",1476,2,Q1,1,Q1,2,Q2,EM RISCO
8595,1973,Grado o superior,Viuda/Viudo,42429,0,1,2022-02-11,0,4,2022-10-02,"$67,00","$55,00","$0,00","$6,00","$2,00","$0,00","$4,00",51,Adulto,1,"$11,17","$3,00",1286,1,Q1,4,Q1,2,Q2,LEALDADE POTENCIAL
2968,1943,Posgrado,Divorciado,48948,0,0,2021-02-01,1,12,2022-10-08,"$902,00","$437,00","$8,00","$206,00","$160,00","$49,00","$42,00",81,Idoso,0,"$150,33","$104,50",1280,4,Q4,4,Q1,4,Q4,CAMPEÕES
8601,1980,Grado o superior,Casado,80011,0,1,2021-04-29,0,13,2022-10-14,"$1.395,00","$421,00","$76,00","$536,00","$82,00","$178,00","$102,00",44,Adulto,1,"$232,50","$140,00",1274,4,Q4,4,Q1,5,Q5,CAMPEÕES
503,1985,Posgrado,Casado,20559,1,0,2021-03-12,0,5,2021-12-24,"$53,00","$13,00","$1,00","$29,00","$3,00","$0,00","$7,00",39,Adulto,1,"$8,83","$5,00",1568,2,Q1,1,Q1,1,Q1,HIBERNANDO
8430,1957,Grado o superior,Unión de hecho,21994,0,1,2020-12-24,0,3,2022-07-05,"$22,00","$9,00","$0,00","$6,00","$3,00","$1,00","$3,00",67,Idoso,1,"$3,67","$3,00",1375,1,Q1,2,Q1,1,Q1,PRESTER A HIBERNAR
2139,1975,Posgrado,Casado,7500,1,0,2021-10-02,0,5,2022-08-26,"$31,00","$3,00","$1,00","$10,00","$3,00","$2,00","$12,00",49,Adulto,1,"$5,17","$3,00",1323,2,Q1,3,Q1,1,Q1,LEALDADE POTENCIAL
1371,1976,Grado o superior,Soltero,79941,0,0,2022-06-28,0,11,2022-12-10,"$984,00","$123,00","$164,00","$266,00","$227,00","$30,00","$174,00",48,Adulto,0,"$164,00","$169,00",1217,4,Q3,5,Q1,4,Q4,CAMPEÕES
9909,1996,Secundaria,Casado,7500,0,0,2020-11-09,1,6,2022-06-29,"$122,00","$3,00","$18,00","$14,00","$15,00","$22,00","$50,00",28,JOVEM,0,"$20,33","$16,50",1381,2,Q2,2,Q1,2,Q2,PRECISAM DE ATENÇÃO
7286,1968,Grado o superior,Unión de hecho,41728,1,0,2021-05-24,0,4,2022-01-31,"$55,00","$13,00","$6,00","$15,00","$3,00","$5,00","$13,00",56,Adulto,1,"$9,17","$9,50",1530,1,Q1,1,Q1,1,Q1,HIBERNANDO
6566,1954,Posgrado,Casado,72550,1,1,2020-11-08,0,17,2022-06-05,"$1.319,00","$826,00","$50,00","$317,00","$50,00","$38,00","$38,00",70,Idoso,2,"$219,83","$50,00",1405,5,Q5,2,Q1,5,Q5,CLIENTES FIEIS
8614,1957,Grado o superior,Viuda/Viudo,65486,0,1,2022-05-12,0,14,2022-12-19,"$507,00","$245,00","$19,00","$125,00","$37,00","$67,00","$14,00",67,Idoso,1,"$84,50","$52,00",1208,4,Q4,5,Q1,3,Q3,CLIENTES FIEIS
4114,1964,Posgrado,Casado,79143,0,0,2020-08-11,0,19,2022-10-23,"$1.693,00","$650,00","$37,00","$780,00","$27,00","$167,00","$32,00",60,Adulto,0,"$282,17","$102,00",1265,5,Q5,4,Q1,5,Q5,CAMPEÕES
1331,1977,Grado o superior,Soltero,35790,1,0,2021-01-02,0,5,2022-11-29,"$72,00","$12,00","$6,00","$20,00","$30,00","$1,00","$3,00",47,Adulto,1,"$12,00","$9,00",1228,2,Q1,5,Q1,2,Q2,LEALDADE POTENCIAL
2225,1977,Grado o superior,Divorciado,82582,0,0,2022-06-07,1,11,2022-12-31,"$1.617,00","$510,00","$120,00","$550,00","$156,00","$40,00","$241,00",47,Adulto,0,"$269,50","$198,50",1196,4,Q3,5,Q1,5,Q5,CAMPEÕES
9381,1978,Grado o superior,Casado,66373,1,1,2021-06-12,0,14,2022-05-27,"$606,00","$328,00","$9,00","$124,00","$12,00","$24,00","$109,00",46,Adulto,2,"$101,00","$66,50",1414,4,Q4,2,Q1,3,Q3,CLIENTES FIEIS
6260,1955,Posgrado,Unión de hecho,82384,0,0,2020-11-19,1,16,2022-05-07,"$1.957,00","$984,00","$51,00","$432,00","$180,00","$120,00","$190,00",69,Idoso,0,"$326,17","$185,00",1434,5,Q5,2,Q1,5,Q5,CLIENTES FIEIS
10383,1966,Grado o superior,Divorciado,70287,0,0,2021-04-02,1,15,2022-08-18,"$1.093,00","$295,00","$35,00","$482,00","$121,00","$120,00","$40,00",58,Adulto,0,"$182,17","$120,50",1331,5,Q4,3,Q1,4,Q4,CLIENTES FIEIS
7437,1988,Grado o superior,Soltero,27938,1,0,2022-04-28,0,5,2022-10-13,"$29,00","$13,00","$0,00","$8,00","$2,00","$1,00","$5,00",36,Adulto,1,"$4,83","$3,50",1275,2,Q1,4,Q1,1,Q1,LEALDADE POTENCIAL
8375,1968,Posgrado,Casado,55954,0,1,2022-03-03,0,14,2022-09-17,"$518,00","$447,00","$0,00","$28,00","$0,00","$0,00","$43,00",56,Adulto,1,"$86,33","$14,00",1301,4,Q4,3,Q1,3,Q3,CLIENTES FIEIS
6853,1982,Posgrado,Soltero,75777,0,0,2021-07-04,1,14,2022-08-27,"$1.438,00","$712,00","$26,00","$538,00","$69,00","$13,00","$80,00",42,Adulto,0,"$239,67","$74,50",1322,4,Q4,3,Q1,5,Q5,CLIENTES FIEIS
3076,1975,Grado o superior,Unión de hecho,66653,1,1,2020-09-07,0,16,2022-07-22,"$612,00","$452,00","$18,00","$102,00","$16,00","$18,00","$6,00",49,Adulto,2,"$102,00","$18,00",1358,5,Q5,3,Q1,3,Q3,CLIENTES FIEIS
1012,1952,Grado o superior,Soltero,61823,0,1,2021-02-18,0,18,2022-03-24,"$884,00","$523,00","$7,00","$134,00","$37,00","$14,00","$169,00",72,Idoso,1,"$147,33","$85,50",1478,5,Q5,1,Q1,4,Q4,EM RISCO
6518,1951,Posgrado,Viuda/Viudo,67680,0,1,2021-06-11,0,15,2022-09-06,"$606,00","$546,00","$0,00","$48,00","$0,00","$6,00","$6,00",73,Idoso,1,"$101,00","$6,00",1312,5,Q4,3,Q1,3,Q3,CLIENTES FIEIS
4137,1948,Grado o superior,Unión de hecho,70666,0,0,2021-12-06,0,11,2022-12-17,"$1.076,00","$398,00","$40,00","$367,00","$119,00","$122,00","$30,00",76,Idoso,0,"$179,33","$120,50",1210,4,Q3,5,Q1,4,Q4,CAMPEÕES
8082,1971,Grado o superior,Casado,25721,1,0,2021-05-21,1,3,2021-07-17,"$34,00","$1,00","$3,00","$6,00","$3,00","$6,00","$15,00",53,Adulto,1,"$5,67","$4,50",1728,1,Q1,1,Q1,1,Q1,HIBERNANDO
1386,1967,Grado o superior,Unión de hecho,32474,1,1,2022-05-11,0,3,2022-05-25,"$11,00","$10,00","$0,00","$1,00","$0,00","$0,00","$0,00",57,Adulto,2,"$1,83","$0,00",1416,1,Q1,2,Q1,1,Q1,PRESTER A HIBERNAR
9369,1979,Secundaria,Soltero,88194,0,1,2022-03-19,1,21,2022-12-27,"$1.274,00","$688,00","$14,00","$309,00","$201,00","$24,00","$38,00",45,Adulto,1,"$212,33","$119,50",1200,5,Q5,5,Q1,5,Q5,CAMPEÕES
4477,1958,Grado o superior,Unión de hecho,69096,0,1,2021-09-27,0,15,2022-09-16,"$653,00","$247,00","$49,00","$159,00","$7,00","$82,00","$109,00",66,Idoso,1,"$108,83","$95,50",1302,5,Q4,3,Q1,4,Q4,CLIENTES FIEIS
1357,1970,Grado o superior,Unión de hecho,74854,1,2,2021-04-08,0,7,2022-01-21,"$1.562,00","$856,00","$59,00","$487,00","$58,00","$29,00","$73,00",54,Adulto,3,"$260,33","$66,00",1540,3,Q2,1,Q1,5,Q5,EM RISCO
1402,1954,Posgrado,Casado,66991,0,0,2020-09-11,0,10,2022-07-16,"$1.253,00","$496,00","$36,00","$460,00","$189,00","$60,00","$12,00",70,Idoso,0,"$208,83","$124,50",1364,3,Q3,3,Q1,5,Q5,CLIENTES FIEIS
6312,1959,Grado o superior,Casado,65031,0,1,2021-03-17,0,23,2022-11-04,"$863,00","$258,00","$107,00","$291,00","$84,00","$37,00","$86,00",65,Idoso,1,"$143,83","$96,50",1253,5,Q5,4,Q1,4,Q4,CAMPEÕES
8132,1975,Posgrado,Casado,60631,1,1,2021-04-05,0,17,2022-08-13,"$661,00","$565,00","$6,00","$65,00","$0,00","$6,00","$19,00",49,Adulto,2,"$110,17","$12,50",1336,5,Q5,3,Q1,4,Q4,CLIENTES FIEIS
1050,1952,Grado o superior,Casado,28332,0,0,2022-04-30,0,6,2022-11-15,"$65,00","$14,00","$10,00","$13,00","$4,00","$15,00","$9,00",72,Idoso,0,"$10,83","$11,50",1242,2,Q2,4,Q1,2,Q2,LEALDADE POTENCIAL
5846,1977,Grado o superior,Divorciado,40246,1,0,2020-12-19,0,3,2021-02-03,"$13,00","$2,00","$1,00","$6,00","$2,00","$1,00","$1,00",47,Adulto,1,"$2,17","$1,50",1892,1,Q1,1,Q1,1,Q1,HIBERNANDO
1859,1972,Posgrado,Casado,75251,0,0,2020-08-27,1,12,2022-10-05,"$1.890,00","$721,00","$111,00","$925,00","$97,00","$18,00","$18,00",52,Adulto,0,"$315,00","$104,00",1283,4,Q4,4,Q1,5,Q5,CAMPEÕES
7503,1976,Grado o superior,Soltero,75825,0,0,2020-10-12,1,14,2022-06-18,"$2.209,00","$1.032,00","$105,00","$779,00","$137,00","$105,00","$51,00",48,Adulto,0,"$368,17","$121,00",1392,4,Q4,2,Q1,5,Q5,CLIENTES FIEIS
10401,1976,Secundaria,Unión de hecho,26326,0,0,2021-09-04,0,3,2022-04-16,"$18,00","$1,00","$0,00","$5,00","$0,00","$3,00","$9,00",48,Adulto,0,"$3,00","$2,00",1455,1,Q1,2,Q1,1,Q1,PRESTER A HIBERNAR
1618,1965,Grado o superior,Unión de hecho,56046,0,0,2021-01-02,1,18,2022-08-07,"$692,00","$577,00","$0,00","$64,00","$0,00","$0,00","$51,00",59,Adulto,0,"$115,33","$25,50",1342,5,Q5,3,Q1,4,Q4,CLIENTES FIEIS
3332,1985,Grado o superior,Soltero,29760,1,0,2020-08-29,0,7,2022-06-25,"$165,00","$64,00","$4,00","$68,00","$7,00","$5,00","$17,00",39,Adulto,1,"$27,50","$12,00",1385,3,Q2,2,Q1,2,Q2,PRECISAM DE ATENÇÃO
2261,1969,Grado o superior,Casado,26304,1,0,2021-06-23,0,3,2021-07-22,"$16,00","$4,00","$1,00","$5,00","$2,00","$0,00","$4,00",55,Adulto,1,"$2,67","$3,00",1723,1,Q1,1,Q1,1,Q1,HIBERNANDO
5346,1973,Secundaria,Casado,23559,1,0,2021-07-03,0,6,2022-08-16,"$79,00","$25,00","$5,00","$19,00","$7,00","$0,00","$23,00",51,Adulto,1,"$13,17","$13,00",1333,2,Q2,3,Q1,2,Q2,LEALDADE POTENCIAL
4119,1963,Posgrado,Unión de hecho,38620,0,0,2021-05-11,0,5,2022-03-22,"$318,00","$112,00","$17,00","$44,00","$34,00","$22,00","$89,00",61,Adulto,0,"$53,00","$39,00",1480,2,Q1,1,Q1,3,Q3,EM RISCO
535,1987,Grado o superior,Divorciado,81361,0,0,2022-02-25,0,16,2022-11-07,"$778,00","$163,00","$23,00","$424,00","$27,00","$65,00","$76,00",37,Adulto,0,"$129,67","$70,50",1250,5,Q5,4,Q1,4,Q4,CAMPEÕES
5268,1960,Grado o superior,Casado,29440,1,1,2021-08-11,0,5,2022-08-06,"$56,00","$17,00","$8,00","$14,00","$10,00","$4,00","$3,00",64,Adulto,2,"$9,33","$9,00",1343,2,Q1,3,Q1,2,Q1,LEALDADE POTENCIAL
273,1970,Posgrado,Casado,36138,1,1,2021-07-16,0,7,2022-08-17,"$151,00","$130,00","$0,00","$16,00","$0,00","$0,00","$5,00",54,Adulto,2,"$25,17","$2,50",1332,3,Q2,3,Q1,2,Q2,LEALDADE POTENCIAL
4452,1957,Grado o superior,Soltero,50388,0,1,2022-05-28,1,12,2022-10-23,"$372,00","$292,00","$6,00","$37,00","$0,00","$3,00","$34,00",67,Idoso,1,"$62,00","$20,00",1265,4,Q4,4,Q1,3,Q3,CLIENTES FIEIS
8504,1973,Grado o superior,Casado,79593,0,0,2022-05-12,0,12,2022-10-14,"$1.366,00","$350,00","$60,00","$568,00","$110,00","$133,00","$145,00",51,Adulto,0,"$227,67","$139,00",1274,4,Q4,4,Q1,5,Q5,CAMPEÕES
771,1967,Grado o superior,Unión de hecho,54178,0,1,2022-01-21,0,7,2022-12-25,"$194,00","$135,00","$9,00","$39,00","$4,00","$0,00","$7,00",57,Adulto,1,"$32,33","$8,00",1202,3,Q2,5,Q1,2,Q2,LEALDADE POTENCIAL
11178,1972,Posgrado,Soltero,42394,1,0,2022-03-23,0,4,2022-08-04,"$32,00","$15,00","$2,00","$10,00","$0,00","$1,00","$4,00",52,Adulto,1,"$5,33","$3,00",1345,1,Q1,3,Q1,1,Q1,LEALDADE POTENCIAL
2230,1970,Posgrado,Casado,23626,1,0,2022-05-24,0,6,2022-11-26,"$43,00","$27,00","$2,00","$14,00","$0,00","$0,00","$0,00",54,Adulto,1,"$7,17","$1,00",1231,2,Q2,5,Q1,1,Q1,LEALDADE POTENCIAL
7516,1983,Grado o superior,Casado,30096,1,0,2022-05-22,0,5,2022-09-09,"$45,00","$5,00","$3,00","$11,00","$12,00","$5,00","$9,00",41,Adulto,1,"$7,50","$7,00",1309,2,Q1,3,Q1,1,Q1,LEALDADE POTENCIAL
7247,1960,Grado o superior,Viuda/Viudo,47916,0,1,2020-11-22,0,13,2022-06-01,"$606,00","$505,00","$0,00","$26,00","$0,00","$0,00","$75,00",64,Adulto,1,"$101,00","$13,00",1409,4,Q4,2,Q1,3,Q3,CLIENTES FIEIS
11100,1972,Grado o superior,Divorciado,51813,1,1,2021-04-11,0,5,2022-06-08,"$63,00","$51,00","$2,00","$7,00","$0,00","$1,00","$2,00",52,Adulto,2,"$10,50","$2,00",1402,2,Q1,2,Q1,2,Q2,PRECISAM DE ATENÇÃO
4646,1951,Secundaria,Casado,78497,0,0,2021-12-01,0,17,2022-11-04,"$978,00","$207,00","$26,00","$447,00","$75,00","$0,00","$223,00",73,Idoso,0,"$163,00","$141,00",1253,5,Q5,4,Q1,4,Q4,CAMPEÕES
3037,1983,Posgrado,Casado,50150,0,0,2021-06-20,0,12,2022-03-23,"$410,00","$135,00","$46,00","$92,00","$65,00","$61,00","$11,00",41,Adulto,0,"$68,33","$63,00",1479,4,Q4,1,Q1,3,Q3,EM RISCO
1473,1960,Secundaria,Soltero,47823,0,1,2021-07-23,0,5,2022-07-04,"$72,00","$53,00","$1,00","$5,00","$2,00","$1,00","$10,00",64,Adulto,1,"$12,00","$3,50",1376,2,Q1,2,Q1,2,Q2,PRECISAM DE ATENÇÃO
1016,1959,Posgrado,Soltero,34554,0,1,2022-03-30,0,5,2022-11-02,"$55,00","$41,00","$1,00","$6,00","$2,00","$0,00","$5,00",65,Idoso,1,"$9,17","$3,50",1255,2,Q1,4,Q1,1,Q1,LEALDADE POTENCIAL
4518,1979,Grado o superior,Unión de hecho,85693,0,1,2021-04-20,0,20,2022-06-23,"$1.169,00","$386,00","$172,00","$183,00","$185,00","$132,00","$111,00",45,Adulto,1,"$194,83","$177,50",1387,5,Q5,2,Q1,4,Q4,CLIENTES FIEIS
9370,1945,Posgrado,Casado,65846,0,0,2021-05-17,0,12,2022-10-16,"$1.120,00","$562,00","$81,00","$276,00","$80,00","$40,00","$81,00",79,Idoso,0,"$186,67","$81,00",1272,4,Q4,4,Q1,4,Q4,CAMPEÕES
8908,1959,Grado o superior,Casado,87195,0,0,2022-05-08,1,8,2022-11-12,"$1.097,00","$217,00","$76,00","$690,00","$50,00","$26,00","$38,00",65,Idoso,0,"$182,83","$63,00",1245,3,Q3,4,Q1,4,Q4,CLIENTES FIEIS
8373,1979,Secundaria,Unión de hecho,24594,1,0,2021-12-10,0,4,2022-12-30,"$29,00","$1,00","$3,00","$6,00","$10,00","$0,00","$9,00",45,Adulto,1,"$4,83","$4,50",1197,1,Q1,5,Q1,1,Q1,LEALDADE POTENCIAL
7533,1964,Grado o superior,Casado,49096,1,1,2021-09-24,0,8,2022-09-12,"$187,00","$144,00","$1,00","$32,00","$2,00","$1,00","$7,00",60,Adulto,2,"$31,17","$4,50",1306,3,Q3,3,Q1,2,Q2,LEALDADE POTENCIAL
2683,1969,Grado o superior,Casado,52413,0,2,2021-02-02,0,18,2022-05-31,"$910,00","$295,00","$106,00","$271,00","$75,00","$98,00","$65,00",55,Adulto,2,"$151,67","$102,00",1410,5,Q5,2,Q1,4,Q4,CLIENTES FIEIS
3629,1978,Grado o superior,Soltero,38557,1,0,2020-12-19,0,6,2022-01-08,"$145,00","$76,00","$3,00","$31,00","$4,00","$4,00","$27,00",46,Adulto,1,"$24,17","$15,50",1553,2,Q2,1,Q1,2,Q2,EM RISCO
10991,1960,Posgrado,Casado,89058,0,0,2020-12-07,0,9,2022-05-11,"$850,00","$454,00","$194,00","$106,00","$31,00","$22,00","$43,00",64,Adulto,0,"$141,67","$74,50",1430,3,Q3,2,Q1,4,Q4,CLIENTES FIEIS
5077,1979,Grado o superior,Unión de hecho,77298,0,1,2021-11-02,0,17,2022-12-06,"$969,00","$425,00","$115,00","$292,00","$23,00","$35,00","$79,00",45,Adulto,1,"$161,50","$97,00",1221,5,Q5,5,Q1,4,Q4,CAMPEÕES
7431,1991,Posgrado,Soltero,68126,0,0,2020-11-10,1,12,2022-05-12,"$1.820,00","$1.332,00","$17,00","$311,00","$23,00","$51,00","$86,00",33,Adulto,0,"$303,33","$68,50",1429,4,Q4,2,Q1,5,Q5,CLIENTES FIEIS
